Rank,Country,National Cyber Security Index,Difference
71.,Brazil,51.95,-7.16
72.,China,51.95,-10.46
73.,New Zealand,51.95,-24.86
74.,Uganda,50.65,23.94
75.,Panama,50.65,2.22
76.,Malta,50.65,-21.09
77.,Costa Rica,49.35,-9.52
78.,Kazakhstan,48.05,-12.13
79.,Andorra,46.75,
80.,Oman,45.45,-14.06
81.,Sri Lanka,44.16,1.14
82.,Mauritius,44.16,-9.41
83.,Pakistan,41.56,9.33
84.,Kenya,41.56,4.42
85.,Jamaica,41.56,-6.62
86.,Brunei Darussalam,41.56,-25.94
87.,United Arab Emirates,40.26,-28.61
88.,Monaco,40.26,
89.,Kyrgyzstan,37.66,-5.3
90.,Mexico,37.66,-13.8
91.,Vietnam,36.36,-11.33
92.,Uzbekistan,36.36,-12.64
93.,South Africa,36.36,-12.88
94.,Armenia,35.06,-20
95.,Montenegro,35.06,-22.73
96.,Kuwait,35.06,
97.,Rwanda,33.77,3.54
98.,Algeria,33.77,-9.04
99.,Trinidad and Tobago,33.77,-18.83
100.,Burkina Faso,33.77,
101.,Ethiopia,32.47,11.77
102.,Cameroon,32.47,4.19
103.,Côte d'Ivoire,31.17,-2.37
104.,Ghana,31.17,-9.51
105.,Bolivia,31.17,-10.92
106.,Liechtenstein,31.17,
107.,Nicaragua,29.87,-2.83
108.,Botswana,29.87,-12.09
109.,Nepal,28.57,-2.01
110.,Namibia,28.57,-8.71
111.,Venezuela,28.57,-14.57
112.,Bosnia and Herzegovina,28.57,-20.74
113.,Jordan,28.57,-25.5
114.,Malawi,27.27,4.07
115.,Vanuatu,27.27,-0.83
116.,Tonga,25.97,-17.43
117.,"Tanzania, United Republic of",24.68,-2.28
118.,Guatemala,24.68,-10.75
119.,El Salvador,24.68,-14.49
120.,Honduras,22.08,-13.01
121.,Suriname,22.08,-29.42
122.,Papua New Guinea,22.08,
123.,San Marino,22.08,
124.,Chad,20.78,3.5
125.,Grenada,20.78,-37.22
126.,Bahamas,20.78,-44.32
127.,Liberia,19.48,
128.,Mali,19.48,-6.52
129.,Senegal,19.48,-13.56
130.,Barbados,19.48,-53.62
131.,Lao PDR,18.18,-14.19
132.,Bhutan,18.18,-18.72
133.,Belize,18.18,-18.92
134.,Mongolia,18.18,-28.23
135.,Somalia,18.18,
136.,Cuba,16.88,-12.22
137.,Zimbabwe,15.58,-13.39
138.,Syrian Arab Republic,15.58,-17.82
139.,Cambodia,15.58,-19.01
140.,Mauritania,14.29,2.99
141.,Fiji,14.29,-30.61
142.,Iran (Islamic Republic of),14.29,-36.75
143.,Madagascar,12.99,-9.81
144.,Saint Lucia,12.99,-33.31
145.,Afghanistan,11.69,-7.81
146.,Sudan,11.69,-13.81
147.,Antigua and Barbuda,11.69,-45.41
148.,Saint Kitts and Nevis,11.69,-60.71
149.,Gambia,11.69,
150.,Samoa,10.39,-22.61
151.,Myanmar,10.39,-23.9
152.,Tajikistan,10.39,-24.17
153.,Libya,10.39,-30.71
154.,Guyana,10.39,-32.52
155.,Seychelles,10.39,-39.91
156.,Angola,9.09,-13.6
157.,Mozambique,9.09,-15.79
158.,Yemen,7.79,-10.21
159.,Burundi,7.79,-10.85
160.,Haiti,7.79,-18.67
161.,Saint Vincent and the Grenadines,7.79,-47.61
162.,Nauru,7.79,
163.,Sierra Leone,7.79,
164.,Turkmenistan,7.79,
165.,Iraq,6.49,
166.,Congo (Democratic Republic of the),5.19,-13.72
167.,Kiribati,5.19,-16.51
168.,Solomon Islands,3.90,-17.2
169.,Dominica,3.90,-53
170.,Tuvalu,2.60,
171.,Vatican City,2.60,
172.,Marshall Islands,1.30,
173.,Micronesia (Federated States of),1.30,
174.,Palau,1.30,
175.,South Sudan,1.30,
